Neighbourhood,Street Code,latitude,longitude
Bo-Kaap,8001,-33.9216,18.415
Devils Peak Estate,8001,-33.937,18.4321
De Waterkant,8001,-33.9154,18.4194
Foreshore,8001,-33.9222,18.441
Gardens,8001,-33.9353,18.4083
Higgovale,8001,-33.9401,18.3992
Oranjezicht,8001,-33.9413,18.4128
Salt River,7925,-33.9268,18.4721
Tamboerskloof,8001,-33.9281,18.4024
University Estate,8001,-33.9386,18.4521
Vredehoek,8001,-33.9411,18.4232
Walmer Estate,7925,-33.9352,18.4439
Woodstock,7925,-33.9294,18.4497
Zonnebloem,7925,-33.9316,18.4321
